date,population shift,confirm_adds,confirm
2020/12/24,0,4,1483
2020/12/25,0,5,1488
2020/12/26,0,4,1492
2020/12/27,0,2,1494
2020/12/28,0,4,1498
2020/12/29,0,7,1505
2020/12/30,0,6,1511
2020/12/31,0,5,1516
2021/01/01,0,4,1520
2021/01/02,0,6,1526
2021/01/03,0,4,1530
2021/01/04,0,6,1536
2021/01/05,0,2,1538
2021/01/06,0,5,1543
2021/01/07,0,8,1551
2021/01/08,0,7,1558
2021/01/09,0,4,1562
2021/01/10,0,2,1564
2021/01/11,0,4,1568
2021/01/12,0,5,1573
2021/01/13,0,8,1581
2021/01/14,0,2,1583
2021/01/15,0,7,1590
2021/01/16,0,4,1594
2021/01/17,0,4,1598
2021/01/18,0,4,1602
2021/01/19,0,4,1606
2021/01/20,0,9,1615
2021/01/21,0,9,1624
2021/01/22,0,11,1635
2021/01/23,0,6,1641
2021/01/24,0,3,1644
2021/01/25,0,10,1654
2021/01/26,0,6,1660
2021/01/27,0,7,1667
2021/01/28,0,9,1676
2021/01/29,0,11,1687
2021/01/30,0,7,1694
2021/01/31,0,4,1698
2021/02/01,0,7,1705
2021/02/02,0,4,1709
2021/02/03,0,5,1714
2021/02/04,0,10,1724
2021/02/05,0,5,1729
2021/02/06,0,3,1732
2021/02/07,0,7,1739
2021/02/08,0,2,1741
2021/02/09,0,6,1747
2021/02/10,0,0,1747
2021/02/11,0,7,1754
2021/02/12,0,3,1757
2021/02/13,0,2,1759
2021/02/14,0,1,1760
2021/02/15,0,5,1765
2021/02/16,0,5,1765
2021/02/17,0,4,1769
2021/02/18,0,7,1776
2021/02/19,0,2,1778
2021/02/20,0,3,1781
2021/02/21,0,2,1783
2021/02/22,0,0,1783
2021/02/23,0,3,1786
2021/02/24,0,3,1789
2021/02/25,0,4,1793
2021/02/26,0,1,1794
2021/02/27,0,0,1794
2021/02/28,0,2,1796
2021/03/01,0,1,1797
2021/03/02,0,0,1797
2021/03/03,0,5,1802
2021/03/04,0,6,1808
2021/03/05,0,1,1809
2021/03/06,0,2,1811
2021/03/07,0,5,1816
2021/03/08,0,2,1818
2021/03/09,0,2,1820
2021/03/10,0,5,1825
2021/03/11,0,3,1828
2021/03/12,0,2,1830
2021/03/13,0,4,1834
2021/03/14,0,1,1835
2021/03/15,0,5,1840
2021/03/16,0,1,1841
2021/03/17,0,2,1843
2021/03/18,0,5,1848
2021/03/19,0,0,1848
2021/03/20,0,4,1852
2021/03/21,0,3,1855
2021/03/22,0,1,1856
2021/03/23,0,3,1859
2021/03/24,0,4,1863
2021/03/25,0,7,1870
2021/03/26,0,6,1876
2021/03/27,0,2,1878
2021/03/28,0,1,1879
2021/03/29,0,3,1882
2021/03/30,0,0,1882
2021/03/31,0,3,1885
2021/04/01,0,2,1887
2021/04/02,0,4,1891
2021/04/03,0,6,1897
2021/04/04,0,3,1900
2021/04/05,0,2,1902
2021/04/06,0,2,1904
2021/04/07,0,9,1913
2021/04/08,0,3,1916
2021/04/09,0,4,1920
2021/04/10,0,2,1922
2021/04/11,0,3,1925
2021/04/12,0,1,1926
2021/04/13,0,5,1931
2021/04/14,0,3,1934
2021/04/15,0,3,1937
2021/04/16,0,3,1940
2021/04/17,0,2,1942
2021/04/18,0,1,1943
